Country Name,Region,World Rank,Region Rank,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),2019 Score
China,Asia-Pacific,100,20,49.9,75.2,49.1,70.4,70.1,76,56.2,64.2,71.9,73,25,20,3.5,45,25,17.5,31.6,1390.1,23159.1,6.9,7.1,16660,4.7,1.6,136320,47.8,58.4
Colombia,Americas,49,8,59.2,34.3,33.5,74.3,75,79.2,71.4,78.5,75.6,76,80,70,7,33,33,19.9,28.9,49.3,714,1.8,3.2,14485,8.9,4.3,14518,49.4,67.3
Comoros,Sub-Saharan Africa,124,20,36.5,29.6,24.4,63.9,73.4,91.7,57.2,60.3,82.8,70,45,30,5,30,50,14.5,29.8,0.8,1.3,2.5,2.2,1588,4.3,1,8.6,28.4,55.4
Congo [DRC],Sub-Saharan Africa,157,34,25.3,30.7,26.2,73.8,93.9,96.9,53.2,41.9,49.1,62.6,30,20,11.2,30,40,10.8,14.2,86.7,68.5,3.4,6.1,790,3.7,41.5,1340.2,15.7,50.3
Congo [Republic],Sub-Saharan Africa,176,46,33.2,29.6,25.3,59.5,40.6,0,38.2,35.8,82.6,56.8,45,30,11.6,45,34,29.5,44.5,4.3,28.9,-4.6,1.1,6642,11,0.5,1158.8,119.1,39.7
Costa Rica,Americas,61,11,58.3,54,54.5,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70,50,1.8,25,30,23.6,19.6,5,83.9,3.2,3.4,16877,8.1,1.6,3007.1,49.1,65.3
Cote d'Ivoire,Sub-Saharan Africa,78,5,40.9,47.8,38.1,77.5,83.9,74.3,61,52.5,74.2,73.6,75,50,8.2,36,25,18.2,23.1,25,96.9,7.8,8.6,3883,2.6,0.8,674.7,46.4,62.4
Croatia,Europe,86,38,66,42.9,38.6,66.4,33.4,85.4,60.7,44,78.5,86,75,60,2,40,18,37.9,47.1,4.1,101.3,2.8,1.5,24424,11.2,1.1,2104.2,78.4,61.4
Cuba,Americas,178,31,31.6,10,37.7,48.8,0,15.6,20,20,65.6,64,10,10,8,50,30,41.5,64.2,11.5,148,0.9,1.9,12920,2.6,5.5,800,47.7,27.8
Cyprus,Europe,44,22,73.1,48.1,43.7,74.9,55.2,80.3,76.9,59.5,84,86,75,60,2,35,12.5,33.6,38.7,0.9,31.6,3.9,0.3,37023,11,0.7,6343.3,99.3,68.1
Czech Republic,Europe,23,13,74.8,47.6,52.1,82.6,52.1,97.6,72.4,78.1,81.5,86,80,80,2,15,19,34,40,10.6,375.7,4.3,2.9,35512,2.9,2.4,7412.2,34.7,73.7
Denmark,Europe,14,6,86.2,77.8,85.8,42,14.4,96.7,90.7,86.4,84.1,86,90,80,2,56,23.5,45.9,53.4,5.7,286.8,2.1,1.6,49883,5.7,1.1,-3114.7,36.4,76.7
Djibouti,Sub-Saharan Africa,169,43,29.7,18.1,28.1,76.2,27.3,18.1,54.7,60.4,72.7,50.4,80,50,17.3,30,25,29.2,49.2,1,3.6,6.7,6.1,3559,5.8,0.7,165,30.6,47.1
Dominica,Americas,72,14,49.2,63.8,54.5,72.1,53.5,84.7,70.7,60.4,85.7,68.2,70,30,8.4,35,30,25.8,39.4,0.1,0.8,-4.2,0,11102,4.5,0.6,18.9,87.6,63.6
Dominican Republic,Americas,89,19,50.6,18.1,23.2,84.6,90.3,89.9,51.9,57.6,79.7,75.8,70,40,4.6,25,27,13.6,17.9,10.2,172.4,4.6,6.1,16944,5.5,3.3,3570,37.7,61
Ecuador,Americas,170,29,35.9,20.2,25.3,77,55.5,32.1,54.1,48.2,73.5,66.4,35,40,6.8,35,25,21.2,38.5,16.8,192.6,2.7,2,11482,3.8,0.4,606.4,45,46.9
Egypt,Middle East and North Africa,144,11,37,48.3,29.2,85.2,68.1,0,65.9,51.6,62.3,71.8,60,50,6.6,25,23,18,32.6,94.8,1201.2,4.2,3.8,12671,12.1,23.5,7391.7,103.3,52.5
El Salvador,Americas,84,17,37.6,29.1,23.4,78.1,86.3,81.9,57.2,53.1,79,81.4,75,60,1.8,30,30,19.7,21.4,6.4,57,2.4,2.1,8948,4.5,1,791.9,59.3,61.8
Equatorial Guinea,Sub-Saharan Africa,174,44,29.7,18.1,15.8,71.3,67.6,16.4,37.6,32.7,83.7,48.8,40,30,15.6,35,35,20.4,32.8,0.8,30.4,-4.4,-5.6,36017,6.9,0.7,304.1,42.7,41
Eritrea,Sub-Saharan Africa,177,47,35.5,18.1,19.7,81.4,73.9,0,17.7,70,61,69.2,0,20,5.4,30,30,8,29.5,5.9,9.4,5,3.4,1581,6.4,9,55.5,131.2,38.9
Estonia,Europe,15,7,81.5,76,73.1,79.9,51.1,99.8,75.3,57.2,79.6,86,90,70,2,20,20,34.7,40.4,1.3,41.6,4.9,2.7,31750,5.8,3.7,784.4,8.8,76.6
Eswatini,Sub-Saharan Africa,132,23,41.7,42.9,35,74.8,65.6,18.3,59.2,67.5,73.7,87.6,50,40,1.2,33,28,25.5,33.9,1.1,11.3,0.2,2,9884,26.4,6.3,-136.8,29.2,54.7
Ethiopia,Sub-Saharan Africa,137,26,32.6,40.9,35.1,77.2,90.4,83.3,48.6,58,60.8,60.8,35,20,12.1,35,30,12.4,17.9,92.7,200.2,10.9,9.9,2161,5.2,9.9,3586.4,56.2,53.6
Fiji,Asia-Pacific,81,18,67.3,42.9,23.4,81.1,71.7,82.4,63,72.9,73.5,62.8,55,50,11.1,29,20,25.5,30.7,0.9,8.7,3.8,3.7,9777,6.3,3.4,299,46.6,62.2
Finland,Europe,20,11,89.6,81.2,92.5,66.8,7.2,86.4,89.4,50.3,84.8,86,85,80,2,31.3,20,44.1,55.6,5.5,244,3,0.8,44333,8.6,0.8,1327.9,61.4,74.9
France,Europe,71,35,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,63.8
Gabon,Sub-Saharan Africa,118,17,28.1,30.6,35.5,75.8,86.6,82.1,52.1,53,80,51.2,60,40,16.9,35,30,17.3,21.1,1.9,36.7,0.8,3.4,19254,19.7,3,1498,61.1,56.3
Gambia,Sub-Saharan Africa,146,30,39.9,42.5,41.2,74.3,70.7,0,54,67.4,62.4,61.6,65,50,14.2,35,32,17.9,31.3,2.1,3.6,3.5,3.1,1713,9.5,8,87.5,123.2,52.4
Georgia,Europe,16,8,65.9,54.6,58.5,87.1,73.6,93.9,85.8,76.6,76,88.6,80,70,0.7,20,15,25.8,29.6,3.7,39.7,4.8,3.7,10747,11.6,6,1861.9,44.9,75.9
Germany,Europe,24,14,79.9,75.4,81.3,60.8,42.3,91.8,83.3,52.8,77.9,86,80,70,2,47.5,15.8,37.6,43.9,82.7,4170.8,2.5,1.7,50425,3.8,1.7,34726.3,64.1,73.5
Ghana,Sub-Saharan Africa,109,13,49.1,44.2,35.5,78.8,82,23.9,56.5,59.9,66.3,63.4,70,60,10.8,35,25,16.5,24.5,28.3,133.7,8.4,5.5,4729,2.4,12.4,3255,71.8,57.5
Greece,Europe,106,43,52.4,49.5,37.7,59.1,23.3,79,74.1,52.5,79.1,81,55,50,2,42,29,38.6,50.6,10.8,298.7,1.4,-0.3,27737,21.5,1.1,4046,181.9,57.7
Guatemala,Americas,77,16,40.3,32.3,26.4,79.2,95.6,96.2,53.6,48.7,77,82.2,70,50,1.4,31,31,12.6,12.1,16.9,137.8,2.8,3.6,8145,2.7,4.4,1146.7,24.4,62.6
Guinea,Sub-Saharan Africa,120,19,34.7,32.6,25.5,69.4,89.8,87.2,54.6,54.9,66.4,63.2,50,40,10.9,40,35,15.3,18.4,13,26.5,6.7,4.9,2041,4.5,8.9,576.5,39.7,55.7
Guinea-Bissau,Sub-Saharan Africa,135,25,32.6,42.9,25.3,88.8,86.7,81.4,35.9,61.2,78.1,55.6,30,30,12.2,20,25,9.6,21,1.7,3.1,5.5,4.3,1845,6.1,1.1,16.6,42,54
Guyana,Americas,113,23,41.7,42.9,33.2,67,69.4,77.6,59.3,62,76.9,66.8,55,30,6.6,33.3,40,24.4,32,0.8,6.3,2.1,3.5,8161,12,2.1,212.2,50.7,56.8
Haiti,Americas,143,25,10.4,25.3,20.3,79.9,88.3,95.9,36.2,62.6,66.5,72,45,30,6.5,30,30,14.5,19.7,11,19.9,1.2,2.2,1815,14,14.7,374.9,31.1,52.7
Honduras,Americas,93,20,43.4,31,25.3,82.8,78.2,95.9,56.9,32,73,79.4,65,60,2.8,25,25,21.6,27,8.3,46.2,4.8,3.6,5562,4.5,3.9,1185.7,43.9,60.2
Hong Kong,Asia-Pacific,1,1,93.3,75.3,83.8,93.1,90.3,100,96.4,89.2,86.4,95,90,90,0,15,16.5,14,17.9,7.4,454.9,3.8,2.8,61393,3.1,1.5,104333,0.1,90.2
Hungary,Europe,64,31,60.9,45.2,35.3,78.6,31.7,85,61.1,64.7,81.8,86,80,70,2,15,19,39.4,47.7,9.8,289,4,3.2,29474,4.2,2.4,2491.6,69.9,65
Iceland,Europe,11,4,87.4,63.8,83.8,72.7,44,96.7,88.4,64.1,81.7,87,85,70,1.5,31.8,20,36.4,43.2,0.3,17.6,3.6,4.4,51842,2.8,1.8,-5.4,40.9,77.1
India,Asia-Pacific,129,31,57.3,61.6,47.8,79.4,77.3,14.7,57.1,41.8,72.4,72.4,40,40,6.3,30.9,32.4,7.2,27.5,1316.9,9459,6.7,7.2,7183,3.5,3.6,39916.1,70.2,55.2
Indonesia,Asia-Pacific,56,11,52.2,53.5,39.5,83.7,91.4,88.1,69.3,49.3,77.4,79.8,45,60,2.6,30,25,10.4,16.9,262,3242.8,5.1,5.1,12377,4.2,3.8,23063.1,28.9,65.8
Iran,Middle East and North Africa,155,13,33.5,41.3,35,80.9,89.8,89.5,62.2,50.7,60.1,54.6,5,10,15.2,35,25,8,18.5,81.4,1644.7,4.3,3.6,20200,12.5,9.9,5019,40.9,51.1
Ireland,Europe,6,2,85.8,68.4,78,76.3,77.4,89,83.1,75.3,87,86,90,70,2,41,12.5,23,27.4,4.7,357.2,7.8,9.7,75538,6.4,0.3,28974.6,68.5,80.5
